"lon";"lat";"cells";"layer"
-80.172117;25.744931;185158;0.176291018724442
-80.155289;25.725575;185159;0.179864779114723
-80.108067;26.040825;180839;0.0647488608956337
-61.2661;13.1783;347385;0.0303111057728529
-60.858361;14.775722;326870;0.334927380084991
-60.856028;14.685417;327950;0.328019469976425
-60.8411;11.1553;374390;0.377307832241058
-60.809528;14.645222;329031;0.0351260863244534
-60.5186;11.3007;372234;0.0961741656064987
-51.9586;4.9268;454417;0.553314864635468
-48.6376;-26.2334;858377;0.449360549449921
-48.5227;-26.3838;860538;0.476772427558899
-48.406306;-25.413806;847580;0.495732843875885
-48.368007;-25.73501;851900;0.526320695877075
-48.3669;-27.293;872420;0.550994157791138
-48.364339;-25.551974;849740;0.468098700046539
-48.333485;-25.783381;852980;0.489927351474762
-48.3206;-25.583;849741;0.520200431346893
-46.296293;-24.025718;830325;0.613720417022705
-45.402778;-23.822222;827096;0.373278468847275
-44.659382;-0.606031;526865;0.0836163759231567
-44.236067;-23.083403;818470;0.319090783596039
-44.1542;-23.1344;818471;0.503179967403412
-43.0854;-22.9856;816323;0.358539313077927
-42;-22.976389;816337;0.248064890503883
-40.250217;-20.354489;782877;0.135869652032852
-38.783333;-3.53333;564735;0.145541280508041
-38.5329;-13.0093;687858;0.174235805869102
-34.8349;-8.0803;623102;0.169341295957565
-62.631111;17.228333;295529;0.109614290297031
-83.740965;9.112481;400036;0.528049767017365
-83.756954;9.144282;400035;0.569157361984253
-83.622778;8.783056;404357;0.530238687992096
-77.690997;6.830393;430348;0.374283343553543
-77.540438;6.688638;431430;0.51947158575058
-77.500796;6.645237;432510;0.432538092136383
-77.435885;6.69729;431431;0.614018261432648
-77.47497;6.304344;436831;0.457833409309387
-77.309527;5.894226;442233;0.557516813278198
-77.297632;5.826319;443313;0.534156322479248
-77.386634;5.628093;445472;0.62433272600174
-77.487622;5.616987;445471;0.516680479049683
-77.533828;5.496468;447630;0.443375080823898
-101.622364;17.653881;289661;0.444875597953796
-101.523956;17.620644;289662;0.632976591587067
-101.490722;17.532897;290743;0.380548119544983
-77.322209;3.966104;467073;0.625790297985077
-78.207345;2.94774;480022;0.361069560050964
-81.598485;4.004601;465941;0.0657133683562279
-105.107778;19.556667;264779;0.589021384716034
-103.519167;18.3525;279918;0.319998264312744
-99.912222;16.823056;300482;0.644259750843048
-96.477222;15.673333;314563;0.538942515850067
-96.236944;15.687222;314566;0.3963662981987
-96.143611;15.736389;314567;0.277915179729462
-96.059722;15.780833;313488;0.569153308868408
-104.304444;19.059167;271269;0.655520141124725
-81.594444;3.851944;468101;0.0833437368273735
-105.399639;20.733306;249656;0.62325382232666
-105.563917;20.703917;249654;0.456034511327744
-105.292997;20.545786;251817;0.468528211116791
-105.392997;20.506517;251816;0.367005616426468
-104.738336;19.238414;269104;0.553779244422913
-104.755928;19.23125;269103;0.423105269670486
-104.351842;19.104997;270188;0.581678032875061
-104.435344;19.09675;270187;0.607464790344238
-80.788533;-1.93395;543711;0.407224744558334
-87.90000153;13.13749981;348146;0.477793306112289
-82.60266876;4.008999825;465929;0.030299412086606
-44.2943;-23.1149;818469;0.218540951609612
-52.43;6.438333333;434971;0.319380909204483
-79.51699829;8.967000008;402246;0.54058438539505
-63.263246;17.627686;290121;0.0208331421017647
-38.516667;-12.983333;686778;0.237907782196999
-113.505;29.093333;140478;0.123227633535862
-113.491389;29.039444;141559;0.135297551751137
-113.475161;28.96835;142639;0.119335390627384
-113.506111;29.014722;141558;0.0868861824274063
-113.5075;28.992222;142638;0.206691414117813
-96.555167;15.660783;315642;0.247177049517632
-95.57493;15.939306;311334;0.553759396076202
-99.870605;16.846758;299402;0.687728643417358
-96.371869;15.670936;314564;0.554760158061981
-96.499242;15.657019;315643;0.240948706865311
-99.901944;16.735278;301562;0.379337519407272
-105.893389;21.855083;234530;0.554922342300415
-87.075;5.525;446436;0.0109407594427466
-103.463611;18.3125;280999;0.330480754375458
-96.560083;-0.049367;518682;0.0174635834991932
-98.776944;16.278056;306975;0.221598580479622
-105.583611;20.684722;249653;0.406742364168167
-110.458333;24.591667;198835;0.207829311490059
-110.408333;24.591667;198836;0.0623815543949604
-77.29309;4.0015;465993;0.629514515399933
-106.458333;23.225;217243;0.611353278160095
-79.5;8.97;402247;0.486462086439133
-41.877584;-22.740636;813098;0.338162392377853
-41.904272;-22.755966;814178;0.336627274751663
-40.35;-20.666667;787196;0.160066947340965
-79.53;8.78;404406;0.535275101661682
